trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory
1,10/23/2025 6:14.40.921,55,online_fb,0,55.447,564,208,547,good_reach,"""\""[{\\\""x\\\"":0.2609,\\\""y\\\"":0.4645,\\\""t\\\"":7},{\\\""x\\\"":0.2619,\\\""y\\\"":0.4544,\\\""t\\\"":14},{\\\""x\\\"":0.2641,\\\""y\\\"":0.426,\\\""t\\\"":27},{\\\""x\\\"":0.2663,\\\""y\\\"":0.4107,\\\""t\\\"":34},{\\\""x\\\"":0.2695,\\\""y\\\"":0.3732,\\\""t\\\"":48},{\\\""x\\\"":0.2723,\\\""y\\\"":0.355,\\\""t\\\"":55},{\\\""x\\\"":0.2788,\\\""y\\\"":0.3245,\\\""t\\\"":69},{\\\""x\\\"":0.2837,\\\""y\\\"":0.3113,\\\""t\\\"":76},{\\\""x\\\"":0.294,\\\""y\\\"":0.2931,\\\""t\\\"":90},{\\\""x\\\"":0.3005,\\\""y\\\"":0.2829,\\\""t\\\"":97},{\\\""x\\\"":0.3119,\\\""y\\\"":0.2677,\\\""t\\\"":111},{\\\""x\\\"":0.3179,\\\""y\\\"":0.2586,\\\""t\\\"":118},{\\\""x\\\"":0.3265,\\\""y\\\"":0.2424,\\\""t\\\"":132},{\\\""x\\\"":0.3298,\\\""y\\\"":0.2353,\\\""t\\\"":139},{\\\""x\\\"":0.3347,\\\""y\\\"":0.2292,\\\""t\\\"":152},{\\\""x\\\"":0.3363,\\\""y\\\"":0.2261,\\\""t\\\"":159},{\\\""x\\\"":0.339,\\\""y\\\"":0.2241,\\\""t\\\"":173},{\\\""x\\\"":0.3407,\\\""y\\\"":0.2231,\\\""t\\\"":180},{\\\""x\\\"":0.345,\\\""y\\\"":0.2231,\\\""t\\\"":194},{\\\""x\\\"":0.3477,\\\""y\\\"":0.2231,\\\""t\\\"":201}]\"""""
2,10/23/2025 6:14.42.519,35,online_fb,0,19.5888,249,76,571,good_reach,"""\""[{\\\""x\\\"":0.2673,\\\""y\\\"":0.5117,\\\""t\\\"":0},{\\\""x\\\"":0.276,\\\""y\\\"":0.5087,\\\""t\\\"":7},{\\\""x\\\"":0.2852,\\\""y\\\"":0.5036,\\\""t\\\"":14},{\\\""x\\\"":0.2961,\\\""y\\\"":0.4955,\\\""t\\\"":21},{\\\""x\\\"":0.3086,\\\""y\\\"":0.4853,\\\""t\\\"":28},{\\\""x\\\"":0.3249,\\\""y\\\"":0.4721,\\\""t\\\"":35},{\\\""x\\\"":0.3238,\\\""y\\\"":0.4701,\\\""t\\\"":35},{\\\""x\\\"":0.3395,\\\""y\\\"":0.4569,\\\""t\\\"":41},{\\\""x\\\"":0.3563,\\\""y\\\"":0.4427,\\\""t\\\"":48},{\\\""x\\\"":0.3721,\\\""y\\\"":0.4295,\\\""t\\\"":55},{\\\""x\\\"":0.3916,\\\""y\\\"":0.4133,\\\""t\\\"":62},{\\\""x\\\"":0.4122,\\\""y\\\"":0.3971,\\\""t\\\"":69}]\"""""
3,10/23/2025 6:14.44.32,40,online_fb,0,26.9893,260,62,490,good_reach,"""\""[{\\\""x\\\"":0.2689,\\\""y\\\"":0.4965,\\\""t\\\"":0},{\\\""x\\\"":0.277,\\\""y\\\"":0.4863,\\\""t\\\"":7},{\\\""x\\\"":0.2857,\\\""y\\\"":0.4752,\\\""t\\\"":14},{\\\""x\\\"":0.2987,\\\""y\\\"":0.4589,\\\""t\\\"":21},{\\\""x\\\"":0.3156,\\\""y\\\"":0.4417,\\\""t\\\"":28},{\\\""x\\\"":0.3324,\\\""y\\\"":0.4214,\\\""t\\\"":35},{\\\""x\\\"":0.3541,\\\""y\\\"":0.4001,\\\""t\\\"":42},{\\\""x\\\"":0.353,\\\""y\\\"":0.3981,\\\""t\\\"":42},{\\\""x\\\"":0.3568,\\\""y\\\"":0.3971,\\\""t\\\"":42},{\\\""x\\\"":0.3834,\\\""y\\\"":0.3727,\\\""t\\\"":48},{\\\""x\\\"":0.4057,\\\""y\\\"":0.3524,\\\""t\\\"":56}]\"""""
4,10/23/2025 6:14.45.539,45,online_fb,0,41.3552,245,55,506,good_reach,"""\""[{\\\""x\\\"":0.2685,\\\""y\\\"":0.4891,\\\""t\\\"":0},{\\\""x\\\"":0.2761,\\\""y\\\"":0.4779,\\\""t\\\"":6},{\\\""x\\\"":0.2848,\\\""y\\\"":0.4657,\\\""t\\\"":13},{\\\""x\\\"":0.2984,\\\""y\\\"":0.4465,\\\""t\\\"":20},{\\\""x\\\"":0.3146,\\\""y\\\"":0.4191,\\\""t\\\"":27},{\\\""x\\\"":0.3136,\\\""y\\\"":0.4171,\\\""t\\\"":27},{\\\""x\\\"":0.3326,\\\""y\\\"":0.3887,\\\""t\\\"":34},{\\\""x\\\"":0.3521,\\\""y\\\"":0.3511,\\\""t\\\"":41},{\\\""x\\\"":0.3684,\\\""y\\\"":0.3197,\\\""t\\\"":48}]\"""""
5,10/23/2025 6:14.46.856,50,online_fb,0,51.2957,253,62,288,good_reach,"""\""[{\\\""x\\\"":0.2625,\\\""y\\\"":0.4718,\\\""t\\\"":0},{\\\""x\\\"":0.2674,\\\""y\\\"":0.4616,\\\""t\\\"":7},{\\\""x\\\"":0.2766,\\\""y\\\"":0.4413,\\\""t\\\"":14},{\\\""x\\\"":0.2859,\\\""y\\\"":0.416,\\\""t\\\"":21},{\\\""x\\\"":0.2902,\\\""y\\\"":0.4028,\\\""t\\\"":28},{\\\""x\\\"":0.2891,\\\""y\\\"":0.4008,\\\""t\\\"":28},{\\\""x\\\"":0.2956,\\\""y\\\"":0.3876,\\\""t\\\"":28},{\\\""x\\\"":0.3081,\\\""y\\\"":0.3561,\\\""t\\\"":35},{\\\""x\\\"":0.3249,\\\""y\\\"":0.3166,\\\""t\\\"":42},{\\\""x\\\"":0.3401,\\\""y\\\"":0.2872,\\\""t\\\"":49},{\\\""x\\\"":0.357,\\\""y\\\"":0.2506,\\\""t\\\"":56}]\"""""
6,10/23/2025 6:14.48.768,140,online_fb,0,140.7732,418,131,661,good_reach,"""\""[{\\\""x\\\"":0.7658,\\\""y\\\"":0.4868,\\\""t\\\"":0},{\\\""x\\\"":0.7696,\\\""y\\\"":0.4746,\\\""t\\\"":7},{\\\""x\\\"":0.7712,\\\""y\\\"":0.4685,\\\""t\\\"":13},{\\\""x\\\"":0.7702,\\\""y\\\"":0.4665,\\\""t\\\"":20},{\\\""x\\\"":0.7669,\\\""y\\\"":0.4655,\\\""t\\\"":27},{\\\""x\\\"":0.7631,\\\""y\\\"":0.4634,\\\""t\\\"":34},{\\\""x\\\"":0.7577,\\\""y\\\"":0.4604,\\\""t\\\"":41},{\\\""x\\\"":0.7522,\\\""y\\\"":0.4543,\\\""t\\\"":48},{\\\""x\\\"":0.7463,\\\""y\\\"":0.4472,\\\""t\\\"":55},{\\\""x\\\"":0.7398,\\\""y\\\"":0.4371,\\\""t\\\"":62},{\\\""x\\\"":0.7251,\\\""y\\\"":0.4137,\\\""t\\\"":76},{\\\""x\\\"":0.7153,\\\""y\\\"":0.4006,\\\""t\\\"":82},{\\\""x\\\"":0.7072,\\\""y\\\"":0.3894,\\\""t\\\"":89},{\\\""x\\\"":0.7012,\\\""y\\\"":0.3823,\\\""t\\\"":96},{\\\""x\\\"":0.7001,\\\""y\\\"":0.3803,\\\""t\\\"":96},{\\\""x\\\"":0.6931,\\\""y\\\"":0.3722,\\\""t\\\"":97},{\\\""x\\\"":0.6822,\\\""y\\\"":0.36,\\\""t\\\"":103},{\\\""x\\\"":0.6648,\\\""y\\\"":0.3397,\\\""t\\\"":110},{\\\""x\\\"":0.6475,\\\""y\\\"":0.3225,\\\""t\\\"":117},{\\\""x\\\"":0.6268,\\\""y\\\"":0.3001,\\\""t\\\"":124}]\"""""
7,10/23/2025 6:14.50.425,135,online_fb,0,125.6809,302,49,593,good_reach,"""\""[{\\\""x\\\"":0.7418,\\\""y\\\"":0.4582,\\\""t\\\"":0},{\\\""x\\\"":0.7359,\\\""y\\\"":0.4389,\\\""t\\\"":7},{\\\""x\\\"":0.7266,\\\""y\\\"":0.4125,\\\""t\\\"":14},{\\\""x\\\"":0.7212,\\\""y\\\"":0.3953,\\\""t\\\"":21},{\\\""x\\\"":0.7201,\\\""y\\\"":0.3932,\\\""t\\\"":21},{\\\""x\\\"":0.7114,\\\""y\\\"":0.3699,\\\""t\\\"":21},{\\\""x\\\"":0.6989,\\\""y\\\"":0.3364,\\\""t\\\"":28},{\\\""x\\\"":0.6816,\\\""y\\\"":0.2959,\\\""t\\\"":35},{\\\""x\\\"":0.6658,\\\""y\\\"":0.2644,\\\""t\\\"":42}]\"""""
8,10/23/2025 6:14.51.900,130,online_fb,0,128.4902,284,70,419,good_reach,"""\""[{\\\""x\\\"":0.7444,\\\""y\\\"":0.46,\\\""t\\\"":0},{\\\""x\\\"":0.7401,\\\""y\\\"":0.4468,\\\""t\\\"":7},{\\\""x\\\"":0.7357,\\\""y\\\"":0.4336,\\\""t\\\"":14},{\\\""x\\\"":0.7298,\\\""y\\\"":0.4174,\\\""t\\\"":21},{\\\""x\\\"":0.7227,\\\""y\\\"":0.4002,\\\""t\\\"":28},{\\\""x\\\"":0.714,\\\""y\\\"":0.3809,\\\""t\\\"":35},{\\\""x\\\"":0.7102,\\\""y\\\"":0.3718,\\\""t\\\"":42},{\\\""x\\\"":0.7091,\\\""y\\\"":0.3697,\\\""t\\\"":42},{\\\""x\\\"":0.7026,\\\""y\\\"":0.3565,\\\""t\\\"":42},{\\\""x\\\"":0.6907,\\\""y\\\"":0.3322,\\\""t\\\"":49},{\\\""x\\\"":0.6733,\\\""y\\\"":0.2997,\\\""t\\\"":56},{\\\""x\\\"":0.6565,\\\""y\\\"":0.2683,\\\""t\\\"":63}]\"""""
9,10/23/2025 6:14.53.394,145,online_fb,0,153.2207,281,56,455,good_reach,"""\""[{\\\""x\\\"":0.7367,\\\""y\\\"":0.482,\\\""t\\\"":1},{\\\""x\\\"":0.7269,\\\""y\\\"":0.4738,\\\""t\\\"":7},{\\\""x\\\"":0.7123,\\\""y\\\"":0.4607,\\\""t\\\"":14},{\\\""x\\\"":0.6965,\\\""y\\\"":0.4444,\\\""t\\\"":21},{\\\""x\\\"":0.677,\\\""y\\\"":0.4262,\\\""t\\\"":28},{\\\""x\\\"":0.6574,\\\""y\\\"":0.4079,\\\""t\\\"":35},{\\\""x\\\"":0.6303,\\\""y\\\"":0.3836,\\\""t\\\"":42},{\\\""x\\\"":0.601,\\\""y\\\"":0.3572,\\\""t\\\"":49}]\"""""
10,10/23/2025 6:14.54.889,125,online_fb,0,130.2251,238,77,476,good_reach,"""\""[{\\\""x\\\"":0.7399,\\\""y\\\"":0.4678,\\\""t\\\"":1},{\\\""x\\\"":0.735,\\\""y\\\"":0.4557,\\\""t\\\"":8},{\\\""x\\\"":0.7296,\\\""y\\\"":0.4425,\\\""t\\\"":15},{\\\""x\\\"":0.7214,\\\""y\\\"":0.4262,\\\""t\\\"":21},{\\\""x\\\"":0.7133,\\\""y\\\"":0.408,\\\""t\\\"":28},{\\\""x\\\"":0.7014,\\\""y\\\"":0.3847,\\\""t\\\"":35},{\\\""x\\\"":0.6889,\\\""y\\\"":0.3593,\\\""t\\\"":42},{\\\""x\\\"":0.6758,\\\""y\\\"":0.335,\\\""t\\\"":49},{\\\""x\\\"":0.6606,\\\""y\\\"":0.3035,\\\""t\\\"":56},{\\\""x\\\"":0.6476,\\\""y\\\"":0.2751,\\\""t\\\"":63},{\\\""x\\\"":0.6346,\\\""y\\\"":0.2467,\\\""t\\\"":70}]\"""""
