trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
1,11/25/2025 6:34.27.822,130,online_fb,0,142.4314,496,99,988,good_reach,"""\""[{\\\""x\\\"":0.7085,\\\""y\\\"":0.4356,\\\""t\\\"":16},{\\\""x\\\"":0.6784,\\\""y\\\"":0.3927,\\\""t\\\"":32},{\\\""x\\\"":0.6557,\\\""y\\\"":0.3569,\\\""t\\\"":49},{\\\""x\\\"":0.6294,\\\""y\\\"":0.3212,\\\""t\\\"":66},{\\\""x\\\"":0.6143,\\\""y\\\"":0.2997,\\\""t\\\"":82}]\""""",1
2,11/25/2025 6:34.33.92,135,online_fb,0,129.8056,476,316,1091,good_reach,"""\""[{\\\""x\\\"":0.7349,\\\""y\\\"":0.4714,\\\""t\\\"":0},{\\\""x\\\"":0.7236,\\\""y\\\"":0.4428,\\\""t\\\"":16},{\\\""x\\\"":0.7048,\\\""y\\\"":0.3999,\\\""t\\\"":33},{\\\""x\\\"":0.6934,\\\""y\\\"":0.3712,\\\""t\\\"":50},{\\\""x\\\"":0.6821,\\\""y\\\"":0.3641,\\\""t\\\"":66},{\\\""x\\\"":0.6784,\\\""y\\\"":0.3355,\\\""t\\\"":83},{\\\""x\\\"":0.6746,\\\""y\\\"":0.3212,\\\""t\\\"":99},{\\\""x\\\"":0.6708,\\\""y\\\"":0.3212,\\\""t\\\"":116},{\\\""x\\\"":0.6708,\\\""y\\\"":0.314,\\\""t\\\"":193},{\\\""x\\\"":0.6708,\\\""y\\\"":0.3069,\\\""t\\\"":233},{\\\""x\\\"":0.6633,\\\""y\\\"":0.2997,\\\""t\\\"":250},{\\\""x\\\"":0.6633,\\\""y\\\"":0.2783,\\\""t\\\"":266},{\\\""x\\\"":0.6557,\\\""y\\\"":0.2711,\\\""t\\\"":283},{\\\""x\\\"":0.652,\\\""y\\\"":0.2496,\\\""t\\\"":299}]\""""",1
3,11/25/2025 6:34.36.742,145,online_fb,0,141.849,520,363,2057,good_reach,"""\""[{\\\""x\\\"":0.7327,\\\""y\\\"":0.4835,\\\""t\\\"":0},{\\\""x\\\"":0.7176,\\\""y\\\"":0.4692,\\\""t\\\"":14},{\\\""x\\\"":0.695,\\\""y\\\"":0.4549,\\\""t\\\"":30},{\\\""x\\\"":0.6837,\\\""y\\\"":0.4406,\\\""t\\\"":47},{\\\""x\\\"":0.6724,\\\""y\\\"":0.4263,\\\""t\\\"":63},{\\\""x\\\"":0.6573,\\\""y\\\"":0.412,\\\""t\\\"":80},{\\\""x\\\"":0.6498,\\\""y\\\"":0.412,\\\""t\\\"":96},{\\\""x\\\"":0.646,\\\""y\\\"":0.4048,\\\""t\\\"":113},{\\\""x\\\"":0.646,\\\""y\\\"":0.3977,\\\""t\\\"":288},{\\\""x\\\"":0.6422,\\\""y\\\"":0.3834,\\\""t\\\"":296},{\\\""x\\\"":0.6347,\\\""y\\\"":0.3619,\\\""t\\\"":313},{\\\""x\\\"":0.6272,\\\""y\\\"":0.3476,\\\""t\\\"":330},{\\\""x\\\"":0.6196,\\\""y\\\"":0.3118,\\\""t\\\"":346}]\""""",1
4,11/25/2025 6:34.40.555,140,online_fb,0,135.8069,473,83,327,good_reach,"""\""[{\\\""x\\\"":0.7085,\\\""y\\\"":0.4356,\\\""t\\\"":0},{\\\""x\\\"":0.6784,\\\""y\\\"":0.3927,\\\""t\\\"":17},{\\\""x\\\"":0.6633,\\\""y\\\"":0.3569,\\\""t\\\"":34},{\\\""x\\\"":0.6482,\\\""y\\\"":0.3283,\\\""t\\\"":50},{\\\""x\\\"":0.6331,\\\""y\\\"":0.2854,\\\""t\\\"":67}]\""""",1
5,11/25/2025 6:34.44.855,125,online_fb,0,118.0725,528,130,425,good_reach,"""\""[{\\\""x\\\"":0.7274,\\\""y\\\"":0.4785,\\\""t\\\"":1},{\\\""x\\\"":0.7236,\\\""y\\\"":0.4571,\\\""t\\\"":14},{\\\""x\\\"":0.7123,\\\""y\\\"":0.4285,\\\""t\\\"":31},{\\\""x\\\"":0.701,\\\""y\\\"":0.3927,\\\""t\\\"":47},{\\\""x\\\"":0.6897,\\\""y\\\"":0.3498,\\\""t\\\"":63},{\\\""x\\\"":0.6821,\\\""y\\\"":0.3069,\\\""t\\\"":80},{\\\""x\\\"":0.6746,\\\""y\\\"":0.2568,\\\""t\\\"":97},{\\\""x\\\"":0.6708,\\\""y\\\"":0.221,\\\""t\\\"":114}]\""""",1
6,11/25/2025 6:34.47.419,35,online_fb,0,33.3578,399,67,1394,good_reach,"""\""[{\\\""x\\\"":0.2702,\\\""y\\\"":0.4723,\\\""t\\\"":0},{\\\""x\\\"":0.2966,\\\""y\\\"":0.4437,\\\""t\\\"":17},{\\\""x\\\"":0.3456,\\\""y\\\"":0.3865,\\\""t\\\"":34},{\\\""x\\\"":0.3871,\\\""y\\\"":0.3221,\\\""t\\\"":50}]\""""",1
7,11/25/2025 6:34.50.10,45,online_fb,0,48.5973,365,300,1215,good_reach,"""\""[{\\\""x\\\"":0.2569,\\\""y\\\"":0.4645,\\\""t\\\"":1},{\\\""x\\\"":0.2644,\\\""y\\\"":0.443,\\\""t\\\"":16},{\\\""x\\\"":0.3097,\\\""y\\\"":0.3715,\\\""t\\\"":33},{\\\""x\\\"":0.321,\\\""y\\\"":0.3429,\\\""t\\\"":50},{\\\""x\\\"":0.3285,\\\""y\\\"":0.3286,\\\""t\\\"":67},{\\\""x\\\"":0.3285,\\\""y\\\"":0.3143,\\\""t\\\"":88},{\\\""x\\\"":0.3361,\\\""y\\\"":0.3071,\\\""t\\\"":100},{\\\""x\\\"":0.3398,\\\""y\\\"":0.2928,\\\""t\\\"":116},{\\\""x\\\"":0.3474,\\\""y\\\"":0.2785,\\\""t\\\"":133},{\\\""x\\\"":0.3511,\\\""y\\\"":0.2785,\\\""t\\\"":273},{\\\""x\\\"":0.3511,\\\""y\\\"":0.2714,\\\""t\\\"":283}]\""""",1
8,11/25/2025 6:34.52.687,50,online_fb,0,43.6271,1,596,1076,too_slow,"""\""[{\\\""x\\\"":0.2483,\\\""y\\\"":0.4647,\\\""t\\\"":0},{\\\""x\\\"":0.2521,\\\""y\\\"":0.4575,\\\""t\\\"":13},{\\\""x\\\"":0.2559,\\\""y\\\"":0.4503,\\\""t\\\"":29},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4503,\\\""t\\\"":488},{\\\""x\\\"":0.2672,\\\""y\\\"":0.4432,\\\""t\\\"":496},{\\\""x\\\"":0.2785,\\\""y\\\"":0.4289,\\\""t\\\"":513},{\\\""x\\\"":0.2974,\\\""y\\\"":0.3931,\\\""t\\\"":529},{\\\""x\\\"":0.3313,\\\""y\\\"":0.3574,\\\""t\\\"":546},{\\\""x\\\"":0.3539,\\\""y\\\"":0.3144,\\\""t\\\"":563},{\\\""x\\\"":0.369,\\\""y\\\"":0.2858,\\\""t\\\"":579}]\""""",1
9,11/25/2025 6:34.54.674,55,online_fb,0,44.7561,299,48,931,good_reach,"""\""[{\\\""x\\\"":0.274,\\\""y\\\"":0.4565,\\\""t\\\"":0},{\\\""x\\\"":0.2966,\\\""y\\\"":0.4065,\\\""t\\\"":15},{\\\""x\\\"":0.3343,\\\""y\\\"":0.3421,\\\""t\\\"":31}]\""""",1
10,11/25/2025 6:34.57.70,40,online_fb,0,32.2829,302,50,1339,good_reach,"""\""[{\\\""x\\\"":0.2815,\\\""y\\\"":0.4704,\\\""t\\\"":1},{\\\""x\\\"":0.3079,\\\""y\\\"":0.449,\\\""t\\\"":17},{\\\""x\\\"":0.357,\\\""y\\\"":0.3774,\\\""t\\\"":33}]\""""",1
