trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
1,12/8/2025 22:58.24.538,100,online_fb,0,98.0941,417,1284,1843,too_slow,"""\""[{\\\""x\\\"":0.2401,\\\""y\\\"":0.441,\\\""t\\\"":17},{\\\""x\\\"":0.2372,\\\""y\\\"":0.4156,\\\""t\\\"":34},{\\\""x\\\"":0.2322,\\\""y\\\"":0.3541,\\\""t\\\"":67},{\\\""x\\\"":0.2312,\\\""y\\\"":0.3392,\\\""t\\\"":67},{\\\""x\\\"":0.2301,\\\""y\\\"":0.311,\\\""t\\\"":100},{\\\""x\\\"":0.2301,\\\""y\\\"":0.3075,\\\""t\\\"":117},{\\\""x\\\"":0.2293,\\\""y\\\"":0.308,\\\""t\\\"":183},{\\\""x\\\"":0.2291,\\\""y\\\"":0.3085,\\\""t\\\"":201},{\\\""x\\\"":0.2288,\\\""y\\\"":0.3095,\\\""t\\\"":250},{\\\""x\\\"":0.2257,\\\""y\\\"":0.308,\\\""t\\\"":283},{\\\""x\\\"":0.2238,\\\""y\\\"":0.303,\\\""t\\\"":300},{\\\""x\\\"":0.222,\\\""y\\\"":0.2847,\\\""t\\\"":333},{\\\""x\\\"":0.222,\\\""y\\\"":0.2782,\\\""t\\\"":350},{\\\""x\\\"":0.2231,\\\""y\\\"":0.2698,\\\""t\\\"":367},{\\\""x\\\"":0.2288,\\\""y\\\"":0.2469,\\\""t\\\"":406},{\\\""x\\\"":0.2325,\\\""y\\\"":0.2261,\\\""t\\\"":428},{\\\""x\\\"":0.2325,\\\""y\\\"":0.2207,\\\""t\\\"":1201},{\\\""x\\\"":0.2322,\\\""y\\\"":0.2172,\\\""t\\\"":1217},{\\\""x\\\"":0.2304,\\\""y\\\"":0.2043,\\\""t\\\"":1250},{\\\""x\\\"":0.2275,\\\""y\\\"":0.1839,\\\""t\\\"":1267}]\""""",1
2,12/8/2025 22:58.26.550,80,online_fb,0,70.2803,397,120,792,good_reach,"""\""[{\\\""x\\\"":0.2538,\\\""y\\\"":0.4327,\\\""t\\\"":0},{\\\""x\\\"":0.2577,\\\""y\\\"":0.4089,\\\""t\\\"":1},{\\\""x\\\"":0.2685,\\\""y\\\"":0.3548,\\\""t\\\"":17},{\\\""x\\\"":0.28,\\\""y\\\"":0.3037,\\\""t\\\"":34},{\\\""x\\\"":0.2842,\\\""y\\\"":0.2828,\\\""t\\\"":50},{\\\""x\\\"":0.2894,\\\""y\\\"":0.2545,\\\""t\\\"":51},{\\\""x\\\"":0.2915,\\\""y\\\"":0.2387,\\\""t\\\"":67},{\\\""x\\\"":0.2931,\\\""y\\\"":0.2287,\\\""t\\\"":84},{\\\""x\\\"":0.2951,\\\""y\\\"":0.2173,\\\""t\\\"":101}]\""""",1
3,12/8/2025 22:58.29.724,85,online_fb,0,84.4588,376,1107,540,too_slow,"""\""[{\\\""x\\\"":0.2427,\\\""y\\\"":0.4613,\\\""t\\\"":1},{\\\""x\\\"":0.2442,\\\""y\\\"":0.4142,\\\""t\\\"":17},{\\\""x\\\"":0.2487,\\\""y\\\"":0.371,\\\""t\\\"":34},{\\\""x\\\"":0.2518,\\\""y\\\"":0.3487,\\\""t\\\"":51},{\\\""x\\\"":0.2552,\\\""y\\\"":0.3219,\\\""t\\\"":52},{\\\""x\\\"":0.267,\\\""y\\\"":0.2559,\\\""t\\\"":67},{\\\""x\\\"":0.2688,\\\""y\\\"":0.245,\\\""t\\\"":84},{\\\""x\\\"":0.2704,\\\""y\\\"":0.2231,\\\""t\\\"":101},{\\\""x\\\"":0.2691,\\\""y\\\"":0.2177,\\\""t\\\"":117},{\\\""x\\\"":0.2678,\\\""y\\\"":0.2157,\\\""t\\\"":134},{\\\""x\\\"":0.2667,\\\""y\\\"":0.2142,\\\""t\\\"":151},{\\\""x\\\"":0.2652,\\\""y\\\"":0.2092,\\\""t\\\"":151},{\\\""x\\\"":0.2644,\\\""y\\\"":0.2008,\\\""t\\\"":167},{\\\""x\\\"":0.2649,\\\""y\\\"":0.1909,\\\""t\\\"":184},{\\\""x\\\"":0.2665,\\\""y\\\"":0.178,\\\""t\\\"":200},{\\\""x\\\"":0.2673,\\\""y\\\"":0.1705,\\\""t\\\"":217},{\\\""x\\\"":0.2678,\\\""y\\\"":0.1686,\\\""t\\\"":234}]\""""",1
4,12/8/2025 22:58.31.907,90,online_fb,0,90.262,233,350,887,good_reach,"""\""[{\\\""x\\\"":0.2685,\\\""y\\\"":0.4206,\\\""t\\\"":0},{\\\""x\\\"":0.2879,\\\""y\\\"":0.3601,\\\""t\\\"":17},{\\\""x\\\"":0.2983,\\\""y\\\"":0.3259,\\\""t\\\"":34},{\\\""x\\\"":0.3171,\\\""y\\\"":0.2653,\\\""t\\\"":50},{\\\""x\\\"":0.3258,\\\""y\\\"":0.2356,\\\""t\\\"":50},{\\\""x\\\"":0.3292,\\\""y\\\"":0.2251,\\\""t\\\"":66},{\\\""x\\\"":0.3297,\\\""y\\\"":0.2217,\\\""t\\\"":84},{\\\""x\\\"":0.3297,\\\""y\\\"":0.2197,\\\""t\\\"":100},{\\\""x\\\"":0.3216,\\\""y\\\"":0.2182,\\\""t\\\"":297},{\\\""x\\\"":0.3098,\\\""y\\\"":0.2142,\\\""t\\\"":304},{\\\""x\\\"":0.2973,\\\""y\\\"":0.2043,\\\""t\\\"":317},{\\\""x\\\"":0.2622,\\\""y\\\"":0.1681,\\\""t\\\"":333}]\""""",1
5,12/8/2025 22:58.34.171,95,online_fb,0,87.7909,282,184,551,good_reach,"""\""[{\\\""x\\\"":0.2463,\\\""y\\\"":0.4682,\\\""t\\\"":0},{\\\""x\\\"":0.2414,\\\""y\\\"":0.4519,\\\""t\\\"":17},{\\\""x\\\"":0.2309,\\\""y\\\"":0.3953,\\\""t\\\"":33},{\\\""x\\\"":0.2293,\\\""y\\\"":0.3467,\\\""t\\\"":50},{\\\""x\\\"":0.232,\\\""y\\\"":0.2951,\\\""t\\\"":67},{\\\""x\\\"":0.244,\\\""y\\\"":0.2251,\\\""t\\\"":83},{\\\""x\\\"":0.2529,\\\""y\\\"":0.1904,\\\""t\\\"":102},{\\\""x\\\"":0.2568,\\\""y\\\"":0.177,\\\""t\\\"":118},{\\\""x\\\"":0.2581,\\\""y\\\"":0.1705,\\\""t\\\"":133},{\\\""x\\\"":0.2586,\\\""y\\\"":0.1686,\\\""t\\\"":152},{\\\""x\\\"":0.2581,\\\""y\\\"":0.1671,\\\""t\\\"":167}]\""""",1
6,12/8/2025 22:58.36.831,90,online_fb,0,88.5927,401,329,803,good_reach,"""\""[{\\\""x\\\"":0.7369,\\\""y\\\"":0.4811,\\\""t\\\"":0},{\\\""x\\\"":0.7343,\\\""y\\\"":0.4618,\\\""t\\\"":12},{\\\""x\\\"":0.7291,\\\""y\\\"":0.3948,\\\""t\\\"":29},{\\\""x\\\"":0.7278,\\\""y\\\"":0.3695,\\\""t\\\"":46},{\\\""x\\\"":0.7272,\\\""y\\\"":0.3457,\\\""t\\\"":46},{\\\""x\\\"":0.727,\\\""y\\\"":0.3035,\\\""t\\\"":62},{\\\""x\\\"":0.7291,\\\""y\\\"":0.2584,\\\""t\\\"":79},{\\\""x\\\"":0.7304,\\\""y\\\"":0.2465,\\\""t\\\"":96},{\\\""x\\\"":0.7309,\\\""y\\\"":0.2425,\\\""t\\\"":112},{\\\""x\\\"":0.7312,\\\""y\\\"":0.2415,\\\""t\\\"":129},{\\\""x\\\"":0.7312,\\\""y\\\"":0.242,\\\""t\\\"":219},{\\\""x\\\"":0.7314,\\\""y\\\"":0.242,\\\""t\\\"":262},{\\\""x\\\"":0.7348,\\\""y\\\"":0.2326,\\\""t\\\"":279},{\\\""x\\\"":0.7422,\\\""y\\\"":0.2082,\\\""t\\\"":296},{\\\""x\\\"":0.7521,\\\""y\\\"":0.17,\\\""t\\\"":312}]\""""",1
7,12/8/2025 22:58.40.499,85,online_fb,0,83.9599,300,650,1451,too_slow,"""\""[{\\\""x\\\"":0.7471,\\\""y\\\"":0.4687,\\\""t\\\"":0},{\\\""x\\\"":0.7482,\\\""y\\\"":0.4325,\\\""t\\\"":16},{\\\""x\\\"":0.7497,\\\""y\\\"":0.3963,\\\""t\\\"":33},{\\\""x\\\"":0.7534,\\\""y\\\"":0.3541,\\\""t\\\"":50},{\\\""x\\\"":0.7623,\\\""y\\\"":0.2911,\\\""t\\\"":66},{\\\""x\\\"":0.768,\\\""y\\\"":0.2574,\\\""t\\\"":83},{\\\""x\\\"":0.7733,\\\""y\\\"":0.2291,\\\""t\\\"":100},{\\\""x\\\"":0.7782,\\\""y\\\"":0.2063,\\\""t\\\"":116},{\\\""x\\\"":0.7798,\\\""y\\\"":0.2003,\\\""t\\\"":133},{\\\""x\\\"":0.7801,\\\""y\\\"":0.1988,\\\""t\\\"":150},{\\\""x\\\"":0.7803,\\\""y\\\"":0.1988,\\\""t\\\"":166},{\\\""x\\\"":0.7806,\\\""y\\\"":0.1993,\\\""t\\\"":185},{\\\""x\\\"":0.7806,\\\""y\\\"":0.1998,\\\""t\\\"":200},{\\\""x\\\"":0.7806,\\\""y\\\"":0.2013,\\\""t\\\"":216},{\\\""x\\\"":0.7806,\\\""y\\\"":0.2028,\\\""t\\\"":233},{\\\""x\\\"":0.7806,\\\""y\\\"":0.2033,\\\""t\\\"":250},{\\\""x\\\"":0.7793,\\\""y\\\"":0.1993,\\\""t\\\"":605},{\\\""x\\\"":0.7772,\\\""y\\\"":0.1939,\\\""t\\\"":617},{\\\""x\\\"":0.7707,\\\""y\\\"":0.1735,\\\""t\\\"":633}]\""""",1
8,12/8/2025 22:58.43.667,80,online_fb,0,80.0355,426,683,1053,too_slow,"""\""[{\\\""x\\\"":0.7609,\\\""y\\\"":0.4692,\\\""t\\\"":0},{\\\""x\\\"":0.7635,\\\""y\\\"":0.4122,\\\""t\\\"":16},{\\\""x\\\"":0.7677,\\\""y\\\"":0.3804,\\\""t\\\"":35},{\\\""x\\\"":0.7718,\\\""y\\\"":0.3581,\\\""t\\\"":50},{\\\""x\\\"":0.7763,\\\""y\\\"":0.3402,\\\""t\\\"":66},{\\\""x\\\"":0.7779,\\\""y\\\"":0.3353,\\\""t\\\"":100},{\\\""x\\\"":0.7781,\\\""y\\\"":0.3348,\\\""t\\\"":150},{\\\""x\\\"":0.7781,\\\""y\\\"":0.3273,\\\""t\\\"":166},{\\\""x\\\"":0.7781,\\\""y\\\"":0.3149,\\\""t\\\"":200},{\\\""x\\\"":0.7781,\\\""y\\\"":0.3144,\\\""t\\\"":217},{\\\""x\\\"":0.7768,\\\""y\\\"":0.3159,\\\""t\\\"":242},{\\\""x\\\"":0.7763,\\\""y\\\"":0.3159,\\\""t\\\"":250},{\\\""x\\\"":0.769,\\\""y\\\"":0.2891,\\\""t\\\"":283},{\\\""x\\\"":0.7648,\\\""y\\\"":0.2549,\\\""t\\\"":300},{\\\""x\\\"":0.7635,\\\""y\\\"":0.238,\\\""t\\\"":300},{\\\""x\\\"":0.7616,\\\""y\\\"":0.1934,\\\""t\\\"":333},{\\\""x\\\"":0.7616,\\\""y\\\"":0.1854,\\\""t\\\"":350},{\\\""x\\\"":0.7616,\\\""y\\\"":0.1844,\\\""t\\\"":367},{\\\""x\\\"":0.763,\\\""y\\\"":0.1844,\\\""t\\\"":416},{\\\""x\\\"":0.7674,\\\""y\\\"":0.1715,\\\""t\\\"":669}]\""""",1
9,12/8/2025 22:58.45.547,95,online_fb,0,88.8204,308,83,785,good_reach,"""\""[{\\\""x\\\"":0.7371,\\\""y\\\"":0.4792,\\\""t\\\"":0},{\\\""x\\\"":0.7343,\\\""y\\\"":0.4509,\\\""t\\\"":17},{\\\""x\\\"":0.734,\\\""y\\\"":0.4311,\\\""t\\\"":33},{\\\""x\\\"":0.735,\\\""y\\\"":0.375,\\\""t\\\"":34},{\\\""x\\\"":0.7413,\\\""y\\\"":0.2778,\\\""t\\\"":50},{\\\""x\\\"":0.7492,\\\""y\\\"":0.1835,\\\""t\\\"":67}]\""""",1
10,12/8/2025 22:58.47.888,100,online_fb,0,100.8816,316,83,1230,good_reach,"""\""[{\\\""x\\\"":0.7353,\\\""y\\\"":0.4417,\\\""t\\\"":0},{\\\""x\\\"":0.7244,\\\""y\\\"":0.3847,\\\""t\\\"":17},{\\\""x\\\"":0.7142,\\\""y\\\"":0.2785,\\\""t\\\"":34},{\\\""x\\\"":0.7139,\\\""y\\\"":0.2194,\\\""t\\\"":50},{\\\""x\\\"":0.7152,\\\""y\\\"":0.1832,\\\""t\\\"":67}]\""""",1
