trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,1/19/2026 20:47.36.753,40,online_fb,0,39.4851,411,133,745,good_reach,"""\""[{\\\""x\\\"":0.5566,\\\""y\\\"":0.4258,\\\""t\\\"":12},{\\\""x\\\"":0.5878,\\\""y\\\"":0.3813,\\\""t\\\"":22},{\\\""x\\\"":0.6044,\\\""y\\\"":0.3565,\\\""t\\\"":33},{\\\""x\\\"":0.6122,\\\""y\\\"":0.3466,\\\""t\\\"":44},{\\\""x\\\"":0.62,\\\""y\\\"":0.3318,\\\""t\\\"":55},{\\\""x\\\"":0.6239,\\\""y\\\"":0.3268,\\\""t\\\"":66},{\\\""x\\\"":0.6308,\\\""y\\\"":0.3186,\\\""t\\\"":77},{\\\""x\\\"":0.6376,\\\""y\\\"":0.3087,\\\""t\\\"":88},{\\\""x\\\"":0.6415,\\\""y\\\"":0.3021,\\\""t\\\"":99},{\\\""x\\\"":0.6483,\\\""y\\\"":0.2922,\\\""t\\\"":110},{\\\""x\\\"":0.6512,\\\""y\\\"":0.2889,\\\""t\\\"":122}]\""""",1,1
2,1/19/2026 20:47.39.85,160,online_fb,0,156.3619,767,43,820,good_reach,"""\""[{\\\""x\\\"":0.4771,\\\""y\\\"":0.4693,\\\""t\\\"":0},{\\\""x\\\"":0.44,\\\""y\\\"":0.4512,\\\""t\\\"":10},{\\\""x\\\"":0.4078,\\\""y\\\"":0.433,\\\""t\\\"":21},{\\\""x\\\"":0.3776,\\\""y\\\"":0.4132,\\\""t\\\"":21},{\\\""x\\\"":0.3551,\\\""y\\\"":0.3951,\\\""t\\\"":32}]\""""",1,1
3,1/19/2026 20:47.42.606,280,online_fb,0,274.4078,45,1544,919,too_slow,"""\""[{\\\""x\\\"":0.4821,\\\""y\\\"":0.49,\\\""t\\\"":0},{\\\""x\\\"":0.4821,\\\""y\\\"":0.4851,\\\""t\\\"":55},{\\\""x\\\"":0.484,\\\""y\\\"":0.4867,\\\""t\\\"":535},{\\\""x\\\"":0.4879,\\\""y\\\"":0.4917,\\\""t\\\"":566},{\\\""x\\\"":0.4957,\\\""y\\\"":0.4999,\\\""t\\\"":600},{\\\""x\\\"":0.4987,\\\""y\\\"":0.5032,\\\""t\\\"":622},{\\\""x\\\"":0.5036,\\\""y\\\"":0.5082,\\\""t\\\"":655},{\\\""x\\\"":0.5065,\\\""y\\\"":0.5098,\\\""t\\\"":733},{\\\""x\\\"":0.5075,\\\""y\\\"":0.5082,\\\""t\\\"":931},{\\\""x\\\"":0.5045,\\\""y\\\"":0.5049,\\\""t\\\"":989},{\\\""x\\\"":0.5036,\\\""y\\\"":0.5016,\\\""t\\\"":1028},{\\\""x\\\"":0.5016,\\\""y\\\"":0.4999,\\\""t\\\"":1066},{\\\""x\\\"":0.5006,\\\""y\\\"":0.4966,\\\""t\\\"":1112},{\\\""x\\\"":0.4987,\\\""y\\\"":0.495,\\\""t\\\"":1266},{\\\""x\\\"":0.4977,\\\""y\\\"":0.4983,\\\""t\\\"":1392},{\\\""x\\\"":0.4977,\\\""y\\\"":0.5065,\\\""t\\\"":1411},{\\\""x\\\"":0.5016,\\\""y\\\"":0.6615,\\\""t\\\"":1444},{\\\""x\\\"":0.5084,\\\""y\\\"":0.7539,\\\""t\\\"":1477},{\\\""x\\\"":0.5114,\\\""y\\\"":0.7951,\\\""t\\\"":1500},{\\\""x\\\"":0.5143,\\\""y\\\"":0.8298,\\\""t\\\"":1533}]\""""",1,1
4,1/19/2026 20:47.44.808,40,online_fb,0,33.1698,321,77,1101,good_reach,"""\""[{\\\""x\\\"":0.522,\\\""y\\\"":0.4713,\\\""t\\\"":0},{\\\""x\\\"":0.56,\\\""y\\\"":0.44,\\\""t\\\"":10},{\\\""x\\\"":0.5815,\\\""y\\\"":0.4202,\\\""t\\\"":22},{\\\""x\\\"":0.6147,\\\""y\\\"":0.3856,\\\""t\\\"":33},{\\\""x\\\"":0.6391,\\\""y\\\"":0.3592,\\\""t\\\"":44},{\\\""x\\\"":0.6478,\\\""y\\\"":0.346,\\\""t\\\"":55},{\\\""x\\\"":0.6635,\\\""y\\\"":0.3229,\\\""t\\\"":66}]\""""",1,1
5,1/19/2026 20:47.48.231,160,online_fb,0,159.2539,339,45,694,good_reach,"""\""[{\\\""x\\\"":0.4854,\\\""y\\\"":0.4786,\\\""t\\\"":0},{\\\""x\\\"":0.4346,\\\""y\\\"":0.4472,\\\""t\\\"":11},{\\\""x\\\"":0.3946,\\\""y\\\"":0.4258,\\\""t\\\"":22},{\\\""x\\\"":0.3331,\\\""y\\\"":0.3928,\\\""t\\\"":34}]\""""",1,1
6,1/19/2026 20:47.51.779,280,online_fb,0,267.668,491,65,144,good_reach,"""\""[{\\\""x\\\"":0.4815,\\\""y\\\"":0.4918,\\\""t\\\"":0},{\\\""x\\\"":0.4815,\\\""y\\\"":0.4934,\\\""t\\\"":13},{\\\""x\\\"":0.4795,\\\""y\\\"":0.5,\\\""t\\\"":20},{\\\""x\\\"":0.4785,\\\""y\\\"":0.5181,\\\""t\\\"":32},{\\\""x\\\"":0.4805,\\\""y\\\"":0.7012,\\\""t\\\"":43},{\\\""x\\\"":0.4824,\\\""y\\\"":0.782,\\\""t\\\"":54}]\""""",1,1
7,1/19/2026 20:47.54.162,280,online_fb,0,278.8162,521,289,870,good_reach,"""\""[{\\\""x\\\"":0.5041,\\\""y\\\"":0.5353,\\\""t\\\"":0},{\\\""x\\\"":0.5139,\\\""y\\\"":0.5832,\\\""t\\\"":13},{\\\""x\\\"":0.5227,\\\""y\\\"":0.6392,\\\""t\\\"":34},{\\\""x\\\"":0.5256,\\\""y\\\"":0.6574,\\\""t\\\"":45},{\\\""x\\\"":0.5295,\\\""y\\\"":0.697,\\\""t\\\"":56},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7168,\\\""t\\\"":68},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7613,\\\""t\\\"":90},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7662,\\\""t\\\"":101},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7745,\\\""t\\\"":112},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7794,\\\""t\\\"":123},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7827,\\\""t\\\"":145},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7844,\\\""t\\\"":157},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7877,\\\""t\\\"":168},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7926,\\\""t\\\"":190},{\\\""x\\\"":0.5305,\\\""y\\\"":0.7976,\\\""t\\\"":212},{\\\""x\\\"":0.5305,\\\""y\\\"":0.8009,\\\""t\\\"":223},{\\\""x\\\"":0.5305,\\\""y\\\"":0.8025,\\\""t\\\"":236},{\\\""x\\\"":0.5305,\\\""y\\\"":0.8042,\\\""t\\\"":248},{\\\""x\\\"":0.5305,\\\""y\\\"":0.8075,\\\""t\\\"":268},{\\\""x\\\"":0.5305,\\\""y\\\"":0.8157,\\\""t\\\"":278}]\""""",1,1
8,1/19/2026 20:47.56.671,40,online_fb,0,42.114,340,44,1414,good_reach,"""\""[{\\\""x\\\"":0.5306,\\\""y\\\"":0.4674,\\\""t\\\"":0},{\\\""x\\\"":0.5833,\\\""y\\\"":0.3965,\\\""t\\\"":12},{\\\""x\\\"":0.6292,\\\""y\\\"":0.319,\\\""t\\\"":22},{\\\""x\\\"":0.6477,\\\""y\\\"":0.281,\\\""t\\\"":34}]\""""",1,1
9,1/19/2026 20:47.58.891,160,online_fb,0,167.8661,314,75,534,good_reach,"""\""[{\\\""x\\\"":0.4805,\\\""y\\\"":0.4802,\\\""t\\\"":0},{\\\""x\\\"":0.4541,\\\""y\\\"":0.4687,\\\""t\\\"":8},{\\\""x\\\"":0.4151,\\\""y\\\"":0.4571,\\\""t\\\"":19},{\\\""x\\\"":0.3614,\\\""y\\\"":0.4439,\\\""t\\\"":30},{\\\""x\\\"":0.3478,\\\""y\\\"":0.4423,\\\""t\\\"":41},{\\\""x\\\"":0.3263,\\\""y\\\"":0.4357,\\\""t\\\"":52},{\\\""x\\\"":0.3107,\\\""y\\\"":0.4307,\\\""t\\\"":63}]\""""",1,1
10,1/19/2026 20:48.1.713,40,online_fb,0,42.9423,109,434,1571,good_reach,"""\""[{\\\""x\\\"":0.485,\\\""y\\\"":0.4815,\\\""t\\\"":1},{\\\""x\\\"":0.486,\\\""y\\\"":0.4815,\\\""t\\\"":83},{\\\""x\\\"":0.5006,\\\""y\\\"":0.4617,\\\""t\\\"":319},{\\\""x\\\"":0.5201,\\\""y\\\"":0.4336,\\\""t\\\"":326},{\\\""x\\\"":0.5406,\\\""y\\\"":0.4023,\\\""t\\\"":334},{\\\""x\\\"":0.5591,\\\""y\\\"":0.3776,\\\""t\\\"":345},{\\\""x\\\"":0.5933,\\\""y\\\"":0.3297,\\\""t\\\"":356},{\\\""x\\\"":0.605,\\\""y\\\"":0.3149,\\\""t\\\"":368},{\\\""x\\\"":0.6196,\\\""y\\\"":0.2968,\\\""t\\\"":379},{\\\""x\\\"":0.6275,\\\""y\\\"":0.2852,\\\""t\\\"":389},{\\\""x\\\"":0.6323,\\\""y\\\"":0.2819,\\\""t\\\"":401},{\\\""x\\\"":0.6382,\\\""y\\\"":0.2753,\\\""t\\\"":412},{\\\""x\\\"":0.6401,\\\""y\\\"":0.2737,\\\""t\\\"":423}]\""""",1,1
